dmel	dana	dvir	dpse	dsec	dwil	dper	dyak	dsim	dere	dgri	dmoj
dmel-FBgn0002571	dana-FBgn0143632	dvir-FBgn0089622	dpse-FBgn0207768	dsec-FBgn0081252	dwil-FBgn0175566	dper-FBgn0223796	dyak-FBgn0148470	dsim-FBgn0240194	dere-FBgn0181942	dgri-FBgn0102947	dmoj-FBgn0128272
dmel-FBgn0002573	dana-FBgn0136216	dvir-FBgn0087452	dpse-FBgn0199077	dsec-FBgn0076711	dwil-FBgn0179461	dper-FBgn0214464	dyak-FBgn0153299	dsim-FBgn0237393	dere-FBgn0184394	dgri-FBgn0106037	dmoj-FBgn0124205
dmel-FBgn0002576	dana-FBgn0137150	dvir-FBgn0098771	dpse-FBgn0205894	dsec-FBgn0244012	dwil-FBgn0177348	dper-FBgn0227332	dyak-FBgn0154103	dsim-FBgn0235232	dere-FBgn0188530	dgri-FBgn0110525	dmoj-FBgn0119310
dmel-FBgn0002577	dana-FBgn0138078	dvir-FBgn0097438	dpse-FBgn0201971	dsec-FBgn0244188	dwil-FBgn0168038	dper-FBgn0218319	dyak-FBgn0152754	dsim-FBgn0233234	dere-FBgn0188621	dgri-FBgn0110657	dmoj-FBgn0131845
dmel-FBgn0002578	dana-FBgn0147411	dvir-FBgn0093819	dpse-FBgn0210998	dsec-FBgn0080993	dwil-FBgn0165247	dper-FBgn0216463	dyak-FBgn0159411	dsim-FBgn0082695	dere-FBgn0082722	dgri-FBgn0103752	dmoj-FBgn0126919
dmel-FBgn0002579	dana-FBgn0133841	dvir-FBgn0098344	dpse-FBgn0201987	dsec-FBgn0080481	dwil-FBgn0173934	dper-FBgn0227405	dyak-FBgn0152289	dsim-FBgn0068069	dere-FBgn0188082	dgri-FBgn0105038	dmoj-FBgn0132075
dmel-FBgn0002590	dana-FBgn0138573	dvir-FBgn0099375	dpse-FBgn0205831	dsec-FBgn0250242	dwil-FBgn0168267	dper-FBgn0222075	dyak-FBgn0223204	dsim-FBgn0220564	dere-FBgn0157929	dgri-FBgn0233190	dmoj-FBgn0187359
dmel-FBgn0002592	dana-FBgn0145636	dvir-FBgn0095242	dpse-FBgn0210423	dsec-FBgn0079351	dwil-FBgn0165156	dper-FBgn0214817	dyak-FBgn0159613	dsim-FBgn0082694	dere-FBgn0189694	dgri-FBgn0104498	dmoj-FBgn0125615
dmel-FBgn0002593	dana-FBgn0144387	dvir-FBgn0097659	dpse-FBgn0204944	dsec-FBgn0077956	dwil-FBgn0171653	dper-FBgn0226597	dyak-FBgn0156477	dsim-FBgn0068061	dere-FBgn0194414	dgri-FBgn0116848	dmoj-FBgn0118704
dmel-FBgn0002609	dana-FBgn0147412	dvir-FBgn0093820	dpse-FBgn0210999	dsec-FBgn0080997	dwil-FBgn0165248	dper-FBgn0216464	dyak-FBgn0159412	dsim-FBgn0240814	dere-FBgn0082736	dgri-FBgn0103753	dmoj-FBgn0126921
dmel-FBgn0002622	dana-FBgn0144776	dvir-FBgn0093266	dpse-FBgn0061220	dsec-FBgn0079854	dwil-FBgn0246533	dper-FBgn0181355	dyak-FBgn0216117	dsim-FBgn0151237	dere-FBgn0068050	dgri-FBgn0192469	dmoj-FBgn0103503
dmel-FBgn0002626	dana-FBgn0146116	dvir-FBgn0100233	dpse-FBgn0016459	dsec-FBgn0012704	dwil-FBgn0167126	dper-FBgn0068552	dyak-FBgn0018681	dsim-FBgn0068070	dere-FBgn0040418	dgri-FBgn0104264	dmoj-FBgn0125868
dmel-FBgn0002629	dana-FBgn0145635	dvir-FBgn0095241	dpse-FBgn0210421	dsec-FBgn0079349	dwil-FBgn0165155	dper-FBgn0214814	dyak-FBgn0159612	dsim-FBgn0082693	dere-FBgn0082720	dgri-FBgn0104497	dmoj-FBgn0125614
dmel-FBgn0002631	dana-FBgn0145634	dvir-FBgn0095240	dpse-FBgn0210420	dsec-FBgn0079346	dwil-FBgn0165154	dper-FBgn0214813	dyak-FBgn0159611	dsim-FBgn0228500	dere-FBgn0082735	dgri-FBgn0104496	dmoj-FBgn0125613
dmel-FBgn0002632	dana-FBgn0211000	dvir-FBgn0081002	dpse-FBgn0165249	dsec-FBgn0159413	dwil-FBgn0082692	dper-FBgn0082719	dyak-FBgn0126922	dsim-m6		dgri-GH19457	
dmel-FBgn0002633	dana-FBgn0147414	dvir-FBgn0093822	dpse-FBgn0211002	dsec-FBgn0081007	dwil-FBgn0165250	dper-FBgn0216465	dyak-FBgn0159415	dsim-FBgn0082704	dere-FBgn0082734	dgri-FBgn0103757	dmoj-FBgn0126923
dmel-FBgn0002638	dana-FBgn0134787	dvir-FBgn0087474	dpse-FBgn0200525	dsec-FBgn0070399	dwil-FBgn0248892	dper-FBgn0168815	dyak-FBgn0217864	dsim-FBgn0219525	dere-FBgn0150108	dgri-FBgn0158958	dmoj-FBgn0237835
dmel-FBgn0002641	dana-FBgn0138227	dvir-FBgn0096221	dpse-FBgn0206333	dsec-FBgn0074247	dwil-FBgn0177902	dper-FBgn0218375	dyak-FBgn0153397	dsim-FBgn0235321	dere-FBgn0191179	dgri-FBgn0111886	dmoj-FBgn0125201
dmel-FBgn0002643	dana-FBgn0143915	dvir-FBgn0089062	dpse-FBgn0208174	dsec-FBgn0245675	dwil-FBgn0176385	dper-FBgn0224066	dyak-FBgn0154327	dsim-FBgn0230311	dere-FBgn0182761	dgri-FBgn0112610	dmoj-FBgn0130129
dmel-FBgn0002645	dana-FBgn0145521	dvir-FBgn0094513	dpse-FBgn0209900	dsec-FBgn0263054	dwil-FBgn0171321	dper-FBgn0212943	dyak-FBgn0161688	dsim-FBgn0240485	dere-FBgn0187813	dgri-FBgn0104137	dmoj-FBgn0124938
dmel-FBgn0002673	dana-FBgn0140392	dvir-FBgn0091967	dpse-FBgn0205378	dsec-FBgn0078560	dwil-FBgn0172825	dper-FBgn0220092	dyak-FBgn0163356	dsim-FBgn0236718	dere-FBgn0193343	dgri-FBgn0116313	dmoj-FBgn0120890
dmel-FBgn0002707	dana-FBgn0138881	dvir-FBgn0098475	dpse-FBgn0203594	dsec-FBgn0077631	dwil-FBgn0167628	dper-FBgn0219499	dyak-FBgn0151788	dsim-FBgn0234354	dere-FBgn0041662	dgri-FBgn0187927	dmoj-FBgn0110760
dmel-FBgn0002709	dana-FBgn0138574	dvir-FBgn0275171	dpse-FBgn0046720	dsec-FBgn0077271	dwil-FBgn0168269	dper-FBgn0278698	dyak-FBgn0157931	dsim-FBgn0046713	dere-FBgn0041663	dgri-FBgn0110419	dmoj-FBgn0132092
dmel-FBgn0002715	dana-FBgn0143488	dvir-FBgn0078794	dpse-FBgn0170800	dsec-FBgn0149387	dwil-FBgn0230002	dper-FBgn0183386	dyak-FBgn0114337	dsim-GD11646	dere-GG22163		dmoj-GI20753
dmel-FBgn0002716	dana-FBgn0143467	dvir-FBgn0088755	dpse-FBgn0207609	dsec-FBgn0245793	dwil-FBgn0168222	dper-FBgn0176840	dyak-FBgn0217875	dsim-FBgn0148138	dere-FBgn0229826	dgri-FBgn0183206	dmoj-FBgn0114153
dmel-FBgn0002719	dana-FBgn0146967	dvir-FBgn0095117	dpse-FBgn0198088	dsec-FBgn0070146	dwil-FBgn0180840	dper-FBgn0212878	dyak-FBgn0160757	dsim-FBgn0241604	dere-FBgn0020700	dgri-FBgn0109328	dmoj-FBgn0126677
dmel-FBgn0002723	dana-FBgn0137582	dvir-FBgn0096451	dpse-FBgn0262800	dsec-FBgn0074325	dwil-FBgn0168029	dper-FBgn0212120	dyak-FBgn0150712	dsim-FBgn0233227	dere-FBgn0188611	dgri-FBgn0110650	dmoj-FBgn0131649
dmel-FBgn0002732	dana-FBgn0147409	dvir-FBgn0093818	dpse-FBgn0083349	dsec-FBgn0080989	dwil-FBgn0165246	dper-FBgn0216462	dyak-FBgn0159410	dsim-FBgn0082696	dere-FBgn0082723	dgri-FBgn0103750	dmoj-FBgn0126918
dmel-FBgn0002733	dana-FBgn0145637	dvir-FBgn0095243	dpse-FBgn0210424	dsec-FBgn0073111	dwil-FBgn0165157	dper-FBgn0214818	dyak-FBgn0159614	dsim-FBgn0082707	dere-FBgn0082739	dgri-FBgn0104499	dmoj-FBgn0125616
dmel-FBgn0002734	dana-FBgn0147407	dvir-FBgn0093816	dpse-FBgn0210996	dsec-FBgn0080980	dwil-FBgn0165244	dper-FBgn0216460	dyak-FBgn0159406	dsim-FBgn0082706	dere-FBgn0082738	dgri-FBgn0103748	dmoj-FBgn0126916
dmel-FBgn0002735	dana-FBgn0147408	dvir-FBgn0093817	dpse-FBgn0210997	dsec-FBgn0080985	dwil-FBgn0165245	dper-FBgn0216461	dyak-FBgn0159408	dsim-FBgn0082705	dere-FBgn0082737	dgri-FBgn0103749	dmoj-FBgn0126917
dmel-FBgn0002736	dana-FBgn0143540	dvir-FBgn0088974	dpse-FBgn0207678	dsec-FBgn0081748	dwil-FBgn0170722	dper-FBgn0222968	dyak-FBgn0147762	dsim-FBgn0067949	dere-FBgn0183306	dgri-FBgn0114264	dmoj-FBgn0128183
dmel-FBgn0002772	dana-FBgn0133509	dvir-FBgn0095716	dpse-FBgn0013088	dsec-FBgn0012706	dwil-FBgn0015158	dper-FBgn0213335	dyak-FBgn0151375	dsim-FBgn0015215	dere-FBgn0012844	dgri-FBgn0104393	dmoj-FBgn0129087
dmel-FBgn0002773	dana-FBgn0146103	dvir-FBgn0093218	dpse-FBgn0197655	dsec-FBgn0075311	dwil-FBgn0167114	dper-FBgn0215154	dyak-FBgn0151668	dsim-FBgn0068125	dere-FBgn0188819	dgri-FBgn0104251	dmoj-FBgn0125853
dmel-FBgn0002774	dana-FBgn0142333	dvir-FBgn0090855	dpse-FBgn0205557	dsec-FBgn0071196	dwil-FBgn0171408	dper-FBgn0223739	dyak-FBgn0155391	dsim-FBgn0236778	dere-FBgn0182116	dgri-FBgn0103146	dmoj-FBgn0127872
dmel-FBgn0002775	dana-FBgn0134804	dvir-FBgn0101785	dpse-FBgn0015213	dsec-FBgn0081210	dwil-FBgn0168720	dper-FBgn0219538	dyak-FBgn0162731	dsim-FBgn0237759	dere-FBgn0184812	dgri-FBgn0107252	dmoj-FBgn0124514
dmel-FBgn0002778	dana-FBgn0107953	dvir-FBgn0124135	dpse-FBgn0134111	dsec-FBgn0100789	dwil-FBgn0198861	dper-FBgn0245021	dyak-FBgn0180353	dsim-FBgn0212563	dere-FBgn0162285	dgri-FBgn0239272	dmoj-FBgn0186198
dmel-FBgn0002780	dana-FBgn0147543	dvir-FBgn0094517	dpse-FBgn0211546	dsec-FBgn0075231	dwil-FBgn0171376	dper-FBgn0214178	dyak-FBgn0161046	dsim-FBgn0228804	dere-FBgn0193036	dgri-FBgn0104136	dmoj-FBgn0121324
dmel-FBgn0002781	dana-FBgn0133584	dvir-FBgn0095956	dpse-FBgn0069459	dsec-FBgn0262046	dwil-FBgn0165954	dper-FBgn0214772	dyak-FBgn0164732	dsim-FBgn0242073	dere-FBgn0276156	dgri-FBgn0186759	dmoj-FBgn0106797
dmel-FBgn0002783	dana-FBgn0147356	dvir-FBgn0093486	dpse-FBgn0210555	dsec-FBgn0075085	dwil-FBgn0180595	dper-FBgn0212931	dyak-FBgn0159313	dsim-FBgn0243371	dere-FBgn0191787	dgri-FBgn0112414	dmoj-FBgn0120744
dmel-FBgn0002787	dana-FBgn0144055	dvir-FBgn0090636	dpse-FBgn0208716	dsec-FBgn0077450	dwil-FBgn0166797	dper-FBgn0224192	dyak-FBgn0157663	dsim-FBgn0232008	dere-FBgn0183593	dgri-FBgn0115120	dmoj-FBgn0128453
dmel-FBgn0002789	dana-FBgn0142809	dvir-FBgn0090712	dpse-FBgn0208300	dsec-FBgn0078366	dwil-FBgn0176339	dper-FBgn0219977	dyak-FBgn0148612	dsim-FBgn0068121	dere-FBgn0182719	dgri-FBgn0112562	dmoj-FBgn0129082
dmel-FBgn0002791	dana-FBgn0143437	dvir-FBgn0089920	dpse-FBgn0209007	dsec-FBgn0075914	dwil-FBgn0170991	dper-FBgn0166894	dyak-FBgn0217730	dsim-FBgn0149254	dere-FBgn0231965	dgri-FBgn0183557	dmoj-FBgn0115073
dmel-FBgn0002838	dana-FBgn0069536	dvir-FBgn0069454	dpse-FBgn0069483	dsec-FBgn0069875			dyak-ms(3)K81	dsim-ms(3)K81	dere-ms(3)K81		
dmel-FBgn0002842	dana-FBgn0136063	dvir-FBgn0101188	dpse-FBgn0199328	dsec-FBgn0070961	dwil-FBgn0177013	dper-FBgn0162172	dyak-FBgn0239920	dsim-FBgn0239560	dere-FBgn0183857	dgri-FBgn0105511	dmoj-FBgn0122169
dmel-FBgn0002855	dana-FBgn0274821	dvir-FBgn0260790	dpse-FBgn0020665	dsec-FBgn0012820	dwil-FBgn0116408		dyak-Acp26Aa	dsim-Acp26Aa	dere-GG24276		
dmel-FBgn0002856	dana-FBgn0091324	dvir-FBgn0272294	dpse-FBgn0260791	dsec-FBgn0082797	dwil-FBgn0236343	dper-FBgn0012821	dyak-FBgn0116410	dsim-Acp26Ab	dere-GG24278		
dmel-FBgn0002863	dana-FBgn0181428	dvir-FBgn0276816	dpse-FBgn0250854	dsec-FBgn0277648			dyak-GE28661	dsim-GD21079	dere-GG26343		
dmel-FBgn0002865	dana-FBgn0133630	dvir-FBgn0142705	dpse-FBgn0144565	dsec-FBgn0281733	dwil-FBgn0095892	dper-FBgn0095893	dyak-FBgn0206775	dsim-FBgn0208350	dere-FBgn0248057	dgri-FBgn0074943	dmoj-FBgn0171291
dmel-FBgn0002868	dana-FBgn0147600	dvir-FBgn0013782	dpse-FBgn0211602	dsec-FBgn0263429	dwil-FBgn0263433	dper-FBgn0213133	dyak-FBgn0160819	dsim-FBgn0263438	dere-FBgn0012845	dgri-FBgn0263425	dmoj-MtnA
dmel-FBgn0002869	dana-FBgn0133304	dvir-FBgn0144963	dpse-FBgn0144959	dsec-FBgn0100024	dwil-FBgn0100021	dper-FBgn0211278	dyak-FBgn0210136	dsim-FBgn0248633	dere-FBgn0263430	dgri-FBgn0177977	dmoj-FBgn0178057
dmel-FBgn0002872	dana-FBgn0134759	dvir-FBgn0101938	dpse-FBgn0200498	dsec-FBgn0075178	dwil-FBgn0169079	dper-FBgn0214622	dyak-FBgn0162401	dsim-FBgn0238187	dere-FBgn0185136	dgri-FBgn0106802	dmoj-FBgn0122767
dmel-FBgn0002873	dana-FBgn0138186	dvir-FBgn0099548	dpse-FBgn0206208	dsec-FBgn0210809	dwil-FBgn0247961	dper-FBgn0172576	dyak-FBgn0222152	dsim-FBgn0152530	dere-FBgn0234612	dgri-FBgn0232321	dmoj-FBgn0269643
dmel-FBgn0002878	dana-FBgn0138501	dvir-FBgn0099593	dpse-FBgn0205768	dsec-FBgn0070858	dwil-FBgn0172541	dper-FBgn0218515	dyak-FBgn0157461	dsim-FBgn0085067	dere-FBgn0270281	dgri-FBgn0084800	dmoj-FBgn0119700
dmel-FBgn0002887	dana-FBgn0133141	dvir-FBgn0092551	dpse-FBgn0205189	dsec-FBgn0246583	dwil-FBgn0171860	dper-FBgn0220417	dyak-FBgn0163533	dsim-FBgn0163535	dere-FBgn0236160	dgri-FBgn0194921	dmoj-FBgn0102861
dmel-FBgn0002891	dana-FBgn0142728	dvir-FBgn0090144	dpse-FBgn0208373	dsec-FBgn0075160	dwil-FBgn0175863	dper-FBgn0223703	dyak-FBgn0148449	dsim-FBgn0236509	dere-FBgn0187026	dgri-FBgn0115454	dmoj-FBgn0127783
dmel-FBgn0002899	dana-FBgn0136083	dvir-FBgn0100956	dpse-FBgn0200379	dsec-FBgn0080723	dwil-FBgn0179884	dper-FBgn0222007	dyak-FBgn0160202	dsim-FBgn0238910	dere-FBgn0185750	dgri-FBgn0106733	dmoj-FBgn0123644
dmel-FBgn0002901	dana-FBgn0139166	dvir-FBgn0100608	dpse-FBgn0203398	dsec-FBgn0245298	dwil-FBgn0169885	dper-FBgn0223082	dyak-FBgn0160451	dsim-FBgn0237272	dere-FBgn0186419	dgri-FBgn0105913	dmoj-FBgn0117538
dmel-FBgn0002905	dana-FBgn0144690	dvir-FBgn0094889	dpse-FBgn0201535	dsec-FBgn0079298	dwil-FBgn0180841	dper-FBgn0215565	dyak-FBgn0160703	dsim-FBgn0241605	dere-FBgn0192015	dgri-FBgn0109329	dmoj-FBgn0129589
dmel-FBgn0002906	dana-FBgn0145177	dvir-FBgn0093641	dpse-FBgn0197338	dsec-FBgn0079953	dwil-FBgn0180932	dper-FBgn0215833	dyak-FBgn0149860	dsim-FBgn0227972	dere-FBgn0192106	dgri-FBgn0109425	dmoj-FBgn0124834
dmel-FBgn0002909	dana-FBgn0141040	dvir-FBgn0139369	dpse-FBgn0087616	dsec-FBgn0200112	dwil-FBgn0081185	dper-FBgn0169753	dyak-FBgn0218673	dsim-FBgn0158926	dere-FBgn0238861	dgri-FBgn0185702	dmoj-FBgn0106675
dmel-FBgn0002914	dana-FBgn0281105	dvir-FBgn0096991	dpse-FBgn0205590	dsec-FBgn0081486	dwil-FBgn0177388	dper-FBgn0218254	dyak-FBgn0162298	dsim-FBgn0233564	dere-FBgn0196001	dgri-FBgn0111568	dmoj-FBgn0119334
dmel-FBgn0002917	dana-FBgn0138189	dvir-FBgn0099551	dpse-FBgn0206210	dsec-FBgn0073582	dwil-FBgn0172579	dper-FBgn0222154	dyak-FBgn0152532	dsim-FBgn0234616	dere-FBgn0188736	dgri-FBgn0110062	dmoj-FBgn0120408
dmel-FBgn0002921	dana-FBgn0133518	dvir-FBgn0095016	dpse-FBgn0197974	dsec-FBgn0079044	dwil-FBgn0169975	dper-FBgn0213961	dyak-FBgn0161881	dsim-FBgn0242757	dere-FBgn0190889	dgri-FBgn0116398	dmoj-FBgn0129174
dmel-FBgn0002922	dana-FBgn0147551	dvir-FBgn0095763	dpse-FBgn0211554	dsec-FBgn0070251	dwil-FBgn0178413	dper-FBgn0224749	dyak-FBgn0151437	dsim-FBgn0241076	dere-FBgn0189889	dgri-FBgn0104701	dmoj-FBgn0121380
dmel-FBgn0002924	dana-FBgn0133482	dvir-FBgn0093347	dpse-FBgn0210236	dsec-FBgn0080609	dwil-FBgn0167156	dper-FBgn0213172	dyak-FBgn0161597	dsim-FBgn0228290	dere-FBgn0189206	dgri-FBgn0104292	dmoj-FBgn0128350
dmel-FBgn0002926	dana-FBgn0135964	dvir-FBgn0087936	dpse-FBgn0199235	dsec-FBgn0070154	dwil-FBgn0168765	dper-FBgn0214598	dyak-FBgn0237793	dsim-FBgn0184843	dere-FBgn0106316	dgri-FBgn0123742	dmoj-GI13207
dmel-FBgn0002930	dana-FBgn0142785	dvir-FBgn0089281	dpse-FBgn0202141	dsec-FBgn0075020	dwil-FBgn0175693	dper-FBgn0223518	dyak-FBgn0148557	dsim-FBgn0067427	dere-FBgn0067495	dgri-FBgn0103069	dmoj-FBgn0127839
dmel-FBgn0002931	dana-FBgn0139177	dvir-FBgn0091886	dpse-FBgn0203399	dsec-FBgn0071067	dwil-FBgn0171617	dper-FBgn0223083	dyak-FBgn0151505	dsim-FBgn0234011	dere-FBgn0194385	dgri-FBgn0116818	dmoj-FBgn0117539
dmel-FBgn0002932	dana-FBgn0132940	dvir-FBgn0095450	dpse-FBgn0013132	dsec-FBgn0071368	dwil-FBgn0181142	dper-FBgn0213430	dyak-FBgn0150098	dsim-FBgn0241903	dere-FBgn0192286	dgri-FBgn0109624	dmoj-FBgn0125688
dmel-FBgn0002936	dana-FBgn0144592	dvir-FBgn0092096	dpse-FBgn0204971	dsec-FBgn0077818	dwil-FBgn0171690	dper-FBgn0226404	dyak-FBgn0153999	dsim-FBgn0234667	dere-FBgn0183747	dgri-FBgn0116886	dmoj-FBgn0118731
dmel-FBgn0002937	dana-FBgn0145885	dvir-FBgn0093895	dpse-FBgn0201682	dsec-FBgn0081704	dwil-FBgn0178988	dper-FBgn0216199	dyak-FBgn0160673	dsim-FBgn0243321	dere-FBgn0190434	dgri-FBgn0111990	dmoj-FBgn0121742
dmel-FBgn0002938	dana-FBgn0146423	dvir-FBgn0092878	dpse-FBgn0208017	dsec-FBgn0078678	dwil-FBgn0171311	dper-FBgn0226261	dyak-FBgn0156504	dsim-FBgn0232095	dere-FBgn0194845	dgri-FBgn0102780	dmoj-FBgn0121203
dmel-FBgn0002939	dana-FBgn0140678	dvir-FBgn0091839	dpse-FBgn0204879	dsec-FBgn0076488	dwil-FBgn0172173	dper-FBgn0220171	dyak-FBgn0152268	dsim-FBgn0230530	dere-FBgn0195483	dgri-FBgn0113287	dmoj-FBgn0130853
dmel-FBgn0002940	dana-FBgn0133093	dvir-FBgn0094370	dpse-FBgn0013133	dsec-FBgn0012733	dwil-FBgn0181738	dper-FBgn0064266	dyak-FBgn0062311	dsim-FBgn0242194	dere-FBgn0191575	dgri-FBgn0064601	dmoj-FBgn0130769
dmel-FBgn0002941	dana-FBgn0147522	dvir-FBgn0093435	dpse-FBgn0211526	dsec-FBgn0079663	dwil-FBgn0165949	dper-FBgn0216265	dyak-FBgn0151388	dsim-FBgn0242066	dere-FBgn0191457	dgri-FBgn0106721	dmoj-FBgn0121085
dmel-FBgn0002945	dana-FBgn0134571	dvir-FBgn0087828	dpse-FBgn0200740	dsec-FBgn0071154	dwil-FBgn0169821	dper-FBgn0214547	dyak-FBgn0159546	dsim-FBgn0239748	dere-FBgn0184042	dgri-FBgn0105703	dmoj-FBgn0124425
dmel-FBgn0002948	dana-FBgn0137357	dvir-FBgn0099519	dpse-FBgn0206563	dsec-FBgn0074613	dwil-FBgn0168026	dper-FBgn0227193	dyak-FBgn0164579	dsim-FBgn0188606	dere-FBgn0110646		dmoj-GI14606
dmel-FBgn0002962	dana-FBgn0146283	dvir-FBgn0083867	dpse-FBgn0013918	dsec-FBgn0079018	dwil-FBgn0025051	dper-FBgn0216062	dyak-FBgn0242648	dsim-FBgn0025032	dere-FBgn0115304	dgri-FBgn0126571	dmoj-GI23557
dmel-FBgn0002973	dana-FBgn0099739	dvir-FBgn0205372	dpse-FBgn0077693	dsec-FBgn0172374	dwil-FBgn0226170	dper-FBgn0163736	dyak-FBgn0236228	dsim-FBgn0194984	dere-FBgn0117473	dgri-FBgn0120502	dmoj-FBgn0140385
dmel-FBgn0002985	dana-FBgn0140507	dvir-FBgn0091688	dpse-FBgn0204762	dsec-FBgn0077741	dwil-FBgn0173042	dper-FBgn0217480	dyak-FBgn0157068	dsim-FBgn0232422	dere-FBgn0194139	dgri-FBgn0116556	dmoj-FBgn0120668
dmel-FBgn0002989	dana-FBgn0133523	dvir-FBgn0091363	dpse-FBgn0205441	dsec-FBgn0077662	dwil-FBgn0173084	dper-FBgn0217578	dyak-FBgn0164282	dsim-FBgn0232556	dere-FBgn0183740	dgri-FBgn0116601	dmoj-FBgn0118123
dmel-FBgn0003002	dana-FBgn0133010	dvir-FBgn0095929	dpse-FBgn0198317	dsec-FBgn0070980	dwil-FBgn0165726	dper-FBgn0215248	dyak-FBgn0159214	dsim-FBgn0242508	dere-FBgn0191241	dgri-FBgn0104878	dmoj-FBgn0130496
dmel-FBgn0003008	dana-FBgn0143442	dvir-FBgn0089918	dpse-FBgn0206839	dsec-FBgn0075770	dwil-FBgn0170989	dper-FBgn0217728	dyak-FBgn0149252	dsim-FBgn0231963	dere-FBgn0183555	dgri-FBgn0115069	dmoj-FBgn0129161
dmel-FBgn0003009	dana-FBgn0143855	dvir-FBgn0090337	dpse-FBgn0208105	dsec-FBgn0076207	dwil-FBgn0170485	dper-FBgn0221554	dyak-FBgn0148894	dsim-FBgn0229389	dere-FBgn0196381	dgri-FBgn0112252	dmoj-FBgn0130509
dmel-FBgn0003011	dana-FBgn0145146	dvir-FBgn0094629	dpse-FBgn0069457	dsec-FBgn0080326	dwil-FBgn0181706	dper-FBgn0224332	dyak-FBgn0150271	dsim-FBgn0242681	dere-FBgn0277377	dgri-FBgn0069480	dmoj-FBgn0115585
dmel-FBgn0003015	dana-FBgn0132821	dvir-FBgn0094710	dpse-FBgn0013134	dsec-FBgn0070683	dwil-FBgn0178635	dper-FBgn0213127	dyak-FBgn0159147	dsim-FBgn0242963	dere-FBgn0190102	dgri-FBgn0105816	dmoj-FBgn0131412
dmel-FBgn0003016	dana-FBgn0133087	dvir-FBgn0092032	dpse-FBgn0205186	dsec-FBgn0077483	dwil-FBgn0169660	dper-FBgn0220082	dyak-FBgn0163339	dsim-FBgn0241972	dere-FBgn0193409	dgri-FBgn0116379	dmoj-FBgn0121321
dmel-FBgn0003023	dana-FBgn0137607	dvir-FBgn0099573	dpse-FBgn0206660	dsec-FBgn0248321	dwil-FBgn0176160	dper-FBgn0221886	dyak-FBgn0157839	dsim-FBgn0234915	dere-FBgn0041659	dgri-FBgn0111250	dmoj-FBgn0119982
dmel-FBgn0003028	dana-FBgn0097362	dvir-FBgn0064309	dpse-FBgn0244037	dsec-FBgn0167318	dwil-FBgn0212265	dper-FBgn0164398	dyak-FBgn0233910	dsim-FBgn0195718	dere-FBgn0110950	dgri-FBgn0132140	
dmel-FBgn0003034	dana-FBgn0270940	dvir-FBgn0012779	dpse-FBgn0239194	dsec-FBgn0021129			dyak-GE21959	dsim-Acp70A			
dmel-FBgn0003041	dana-FBgn0134946	dvir-FBgn0101142	dpse-FBgn0198682	dsec-FBgn0080824	dwil-FBgn0179844	dper-FBgn0220054	dyak-FBgn0220055	dsim-FBgn0155425	dere-FBgn0237700	dgri-FBgn0184753	dmoj-FBgn0107186
dmel-FBgn0003042	dana-FBgn0136067	dvir-FBgn0101194	dpse-FBgn0199332	dsec-FBgn0076922	dwil-FBgn0177018	dper-FBgn0222420	dyak-FBgn0162177	dsim-FBgn0240166	dere-FBgn0239566	dgri-FBgn0183861	dmoj-FBgn0105515
dmel-FBgn0003044	dana-FBgn0141392	dvir-FBgn0089687	dpse-FBgn0208788	dsec-FBgn0078665	dwil-FBgn0176723	dper-FBgn0221648	dyak-FBgn0227541	dsim-FBgn0149156	dere-FBgn0229706	dgri-FBgn0183089	dmoj-FBgn0114023
dmel-FBgn0003046	dana-FBgn0140214	dvir-FBgn0091980	dpse-FBgn0201726	dsec-FBgn0012707	dwil-FBgn0171189	dper-FBgn0221051	dyak-FBgn0163560	dsim-FBgn0231913	dere-FBgn0194828	dgri-FBgn0102761	dmoj-FBgn0120754
dmel-FBgn0003048	dana-FBgn0139179	dvir-FBgn0099203	dpse-FBgn0203021	dsec-FBgn0077466	dwil-FBgn0174117	dper-FBgn0227300	dyak-FBgn0150938	dsim-FBgn0233789	dere-FBgn0188198	dgri-FBgn0105195	dmoj-FBgn0020166
dmel-FBgn0003053	dana-FBgn0138983	dvir-FBgn0096369	dpse-FBgn0071532	dsec-FBgn0167291	dwil-FBgn0218118	dper-FBgn0154027	dyak-FBgn0233884	dsim-FBgn0269187	dere-FBgn0110924	dgri-FBgn0132010	dmoj-GI16234
dmel-FBgn0003060	dana-FBgn0180779	dvir-FBgn0241547	dpse-FBgn0191959	dsec-FBgn0109266			dyak-GE24430	dsim-GD20488	dere-GG17038		
dmel-FBgn0003062	dana-FBgn0141414	dvir-FBgn0088344	dpse-FBgn0208809	dsec-FBgn0245878	dwil-FBgn0170505	dper-FBgn0221599	dyak-FBgn0148384	dsim-FBgn0068157	dere-FBgn0196397	dgri-FBgn0064623	dmoj-FBgn0128538
dmel-FBgn0003065	dana-FBgn0133413	dvir-FBgn0100242	dpse-FBgn0210109	dsec-FBgn0075293	dwil-FBgn0171331	dper-FBgn0216046	dyak-FBgn0240496	dsim-FBgn0270557	dere-FBgn0104147	dgri-FBgn0121598	dmoj-GI10649
